iter	Passed	Remaining
0	139	139750
1	140	70244
2	141	47092
3	142	35465
4	143	28478
5	143	23808
6	144	20481
7	145	17994
8	145	16064
9	146	14518
10	147	13247
11	147	12182
12	148	11287
13	149	10519
14	150	9854
15	150	9276
16	151	8764
17	152	8316
18	153	7909
19	153	7539
20	154	7206
21	155	6901
22	156	6630
23	156	6377
24	157	6140
25	158	5922
26	158	5717
27	159	5527
28	159	5354
29	160	5190
30	161	5037
31	161	4894
32	162	4762
33	163	4635
34	163	4516
35	164	4401
36	165	4296
37	165	4195
38	166	4099
39	167	4011
40	167	3925
41	168	3843
42	169	3764
43	169	3689
44	170	3616
45	171	3548
46	171	3482
47	172	3417
48	172	3356
49	173	3297
50	174	3240
51	174	3189
52	175	3140
53	176	3090
54	177	3041
55	177	2993
56	178	2946
57	178	2903
58	179	2861
59	180	2820
60	180	2780
61	181	2741
62	181	2703
63	182	2666
64	182	2631
65	183	2597
66	184	2563
67	184	2530
68	185	2500
69	185	2468
70	186	2439
71	187	2410
72	187	2382
73	188	2355
74	188	2328
75	189	2302
76	189	2276
77	190	2251
78	191	2226
79	191	2203
80	192	2180
81	192	2159
82	193	2135
83	193	2114
84	194	2093
85	195	2073
86	195	2053
87	196	2033
88	196	2014
89	197	1995
90	197	1977
91	198	1958
92	199	1941
93	199	1923
94	200	1907
95	200	1891
96	201	1875
97	202	1862
98	203	1847
99	203	1832
100	204	1817
101	204	1802
102	205	1788
103	206	1774
104	206	1762
105	207	1749
106	207	1735
107	208	1722
108	209	1710
109	209	1696
110	210	1684
111	210	1671
112	211	1659
113	211	1647
114	212	1635
115	213	1623
116	213	1611
117	214	1600
118	214	1589
119	215	1579
120	216	1569
121	216	1558
122	217	1548
123	217	1537
124	218	1528
125	218	1518
126	219	1508
127	220	1498
128	220	1490
129	221	1481
130	221	1472
131	222	1463
132	223	1455
133	223	1446
134	224	1437
135	224	1429
136	225	1420
137	226	1413
138	226	1405
139	227	1396
140	227	1388
141	228	1380
142	229	1372
143	229	1365
144	230	1357
145	230	1350
146	231	1342
147	231	1335
148	232	1327
149	233	1320
150	233	1313
151	234	1308
152	235	1301
153	235	1295
154	236	1289
155	237	1282
156	237	1276
157	238	1270
158	239	1264
159	239	1257
160	240	1250
161	240	1244
162	241	1238
163	241	1232
164	242	1226
165	243	1221
166	243	1215
167	244	1209
168	244	1203
169	245	1197
170	245	1191
171	246	1186
172	247	1181
173	247	1176
174	248	1172
175	249	1167
176	250	1162
177	250	1157
178	251	1152
179	251	1147
180	252	1142
181	253	1137
182	253	1132
183	254	1127
184	254	1122
185	255	1117
186	255	1112
187	256	1107
188	257	1102
189	257	1098
190	258	1093
191	258	1088
192	259	1084
193	259	1080
194	260	1075
195	261	1071
196	262	1068
197	262	1064
198	263	1060
199	264	1056
200	264	1052
201	265	1048
202	265	1044
203	266	1040
204	267	1036
205	267	1032
206	268	1027
207	268	1023
208	269	1019
209	269	1015
